City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
120,Coquimbo,90,CL,1621375842,84,-29.9533,-71.3436,56.93,3.0
121,Shimoda,100,JP,1621375842,95,34.6667,138.95,68.16,6.85
122,Kinkala,98,CG,1621375842,92,-4.3614,14.7644,72.3,1.97
123,Oistins,15,BB,1621375843,73,13.0667,-59.5333,79.83,15.17
124,Iskateley,100,RU,1621375843,72,67.6803,53.1512,56.75,9.26
125,Paraíso,98,CR,1621375844,79,9.8383,-83.8656,72.46,2.44
126,George Town,20,MY,1621375561,87,5.4112,100.3354,81.9,5.46
127,Saint George,1,US,1621375844,16,37.1041,-113.5841,94.62,3.0
128,Nurota,0,UZ,1621375844,22,40.5614,65.6886,64.49,0.67
129,Haines Junction,86,CA,1621375845,48,60.7522,-137.5108,54.97,3.0
130,Butaritari,100,KI,1621375845,82,3.0707,172.7902,81.97,12.75
131,Flagstaff,75,US,1621375781,13,35.1981,-111.6513,77.31,5.01
132,Tasiilaq,3,GL,1621375846,72,65.6145,-37.6368,24.96,1.28
133,Pitimbu,9,BR,1621375846,83,-7.4706,-34.8086,73.99,9.15
134,Vlasotince,8,RS,1621375846,80,42.9636,22.1231,53.08,3.76
135,Bundaberg,40,AU,1621375847,76,-24.85,152.35,68.22,5.99
136,São José da Coroa Grande,3,BR,1621375847,82,-8.8978,-35.1478,76.91,8.57
137,Wawa,68,NG,1621375847,50,9.9022,4.4192,85.89,11.48
138,Necochea,69,AR,1621375848,80,-38.5473,-58.7368,52.03,8.21
139,Baní,74,DO,1621375848,64,18.2833,-70.3333,85.44,8.9
140,Mata,76,PT,1621375848,87,40.683,-7.4592,53.8,3.38
141,Adrar,48,MR,1621375849,16,20.5022,-10.0711,91.24,23.82
142,Whitehorse,81,CA,1621375849,45,60.7161,-135.0538,57.02,4.0
143,Lüderitz,1,NA,1621375849,52,-26.6481,15.1594,64.74,7.81
144,Beya,100,RU,1621375850,94,53.0533,90.9139,51.96,1.34
145,Barrow,90,US,1621375850,86,71.2906,-156.7887,30.22,3.44
146,Evensk,100,RU,1621375850,99,61.95,159.2333,32.85,6.26
147,Teacapan,1,MX,1621375851,53,22.55,-105.75,84.02,10.63
148,Ivankiv,92,UA,1621375851,96,50.9386,29.8943,57.43,5.23
149,Santa María del Oro,0,MX,1621375852,4,25.9333,-105.3667,87.06,21.3
150,Waitara,57,NZ,1621375852,75,-38.925,174.25,59.72,23.47
151,Crixás,100,BR,1621375852,50,-14.5489,-49.9692,75.9,2.33
152,Bredasdorp,43,ZA,1621375853,74,-34.5322,20.0403,53.85,2.33
153,Geraldton,6,AU,1621375853,79,-28.7667,114.6,59.41,5.3
154,Broome,1,US,1621375853,38,42.2506,-75.833,77.56,5.01
155,Torbay,95,CA,1621375854,88,47.6666,-52.7314,46.76,1.01
156,Quatre Cocos,14,MU,1621375854,76,-20.2078,57.7625,72.09,7.07
157,Clyde River,88,CA,1621375854,88,70.4692,-68.5914,28.36,3.51
158,Upernavik,77,GL,1621375855,82,72.7868,-56.1549,35.33,6.22
159,Wanning,96,CN,1621375632,89,18.8003,110.3967,81.05,9.69
160,Pierre,40,US,1621375629,44,44.3683,-100.351,77.92,20.71
161,Codrington,92,AU,1621375855,76,-38.2667,141.9667,46.92,11.52
162,Myrtle Beach,1,US,1621375789,67,33.6891,-78.8867,79.27,6.91
163,Airai,68,TL,1621375856,91,-8.9266,125.4092,57.16,2.82
164,Palmer,90,US,1621375856,60,42.1584,-72.3287,82.0,6.26
165,Khatanga,100,RU,1621375856,96,71.9667,102.5,18.88,7.45
166,Norman Wells,100,CA,1621375857,52,65.282,-126.8329,48.78,4.76
167,Tharād,100,IN,1621375689,67,24.3961,71.6267,78.22,18.43
168,Salisbury,75,GB,1621375857,94,51.0693,-1.7957,52.48,3.18
169,Port Elizabeth,40,ZA,1621375857,67,-33.918,25.5701,57.49,5.75
